XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
-8.490147,9.359584,5.44348|0,-0.6103419,0.05,-0.3,0,0
-8.937384,9.60343,5.542317|0,-0.5480889,0,-0.15,0,0
-11.57948,9.176481,5.64104|0,-0.4497489,0,-0.7,0,0
-17.38511,-6.814315,5.83695|0,-0.3485769,0.2,-1.55,0,0
-23.01668,-4.438532,6.027967|0,-0.2334429,0.4,-1.55,0,0
-22.74996,-2.694571,6.304983|0,-0.04615301,0.1,-0.2,0,0
-22.74996,-4.937807,6.304983|0,0,0,0,0,0
-23.10683,-1.804176,6.212945|0,0.06269395,0.05,0,0,0
-23.27443,-1.137976,6.121158|0,0.159399,0.1,0.05,0,0
-23.63755,-1.029456,5.938093|0,0.2718689,0.2,0.1,0,0
-22.63649,-0.8882338,5.755573|0,0.36975,0.3,0.45,0,0
-18.27506,-1.44442,5.388902|0,0.599682,0.35,1.5,0,0
-18.61475,-1.942191,5.294127|0,0.6586289,0,0,0,0
-18.96684,-1.870221,5.199548|0,0.7235759,0,0,0,0
-19.289,0.01978234,5.001811|0.116766,0.6068099,0,0,0,0
-19.27786,1.169523,4.901923|0.1918049,0.531771,0,0,0,0
-18.19851,2.219467,4.71041|0.301071,0.422505,-0.05,0.1,0,0
-5.855514,-3.586759,4.601357|0.06819892,0,-0.25,1.9,0,1
-17.34747,-6.994595,4.96625|0,-0.109521,0.95,-0.55,0,0
-17.6843,-6.17803,5.1573|0,-0.20433,0.2,-0.25,0,0
-16.83278,-4.319966,5.348012|0,-0.3105479,0,0.05,0,0
-15.92773,-3.503082,5.443717|0,-0.416889,-0.1,0.15,0,0
-14.44786,0.7486043,5.829073|0,-0.6198689,-0.2,0.1,0,0
-15.60644,-2.536439,5.925889|0,-0.708969,-0.4,-0.35,0,0
-19.10225,-6.968831,6.118612|0,-0.807945,-1.4,-1,0,0
-10.84548,13.25325,6.295689|0.109989,-0.697956,-1.75,1.85,0,0
-10.41833,13.24419,6.383773|0.194163,-0.613782,0,0,0,0
-9.251025,12.45813,6.53437|0.305325,-0.50262,0,0,0,0
-5.757009,11.63518,6.48214|0.5097569,0,0,0,0,0
-4.901888,12.22108,6.455869|0.4339378,0.07581908,0,0,0,0
-4.093282,12.83773,6.413908|0.3719548,0.1378021,0,0,0,0
-3.453717,13.24092,6.343689|0.2733058,0.236451,0,0,0,0
-2.06232,13.62208,6.214218|0.1605808,0.123726,0,0,0,0
-2.318578,13.01461,6.145906|0.05586576,0.01901096,0.5,-0.5,0,0
-7.318583,-7.208623,6.145906|0,0,0.85,-1.25,0,0
-8.91857,-6.568771,6.145906|0,0,0.15,-0.4,0,0
-10.31858,-5.927347,6.145906|0,0,0.15,-0.35,0,0
-12.46385,-6.47805,5.949391|0,0.131613,0.55,-0.45,0,0
-13.67533,-3.421653,5.851862|0,0.2041529,0.6,-0.25,0,0
-15.15454,2.779181,5.657885|0,0.312384,1.05,-0.25,0,0
-16.2919,7.572793,5.273174|0,0.53523,0.5,0,0,0
-16.60268,8.586638,5.177359|0,0.59637,0,0,0,1
-15.51504,6.980867,6.147233|0,0.6954691,0,0.05,0,0
-14.70038,7.506449,5.858926|0,0.836544,0.25,0.4,0,0
-14.15291,6.926822,5.762331|0,0.922308,0,0.2,0,0
-11.32164,5.379535,5.472173|0,0.7239479,-0.2,0.9,0,0
-11.54842,3.860214,5.276391|0,0.6491969,-0.05,0.05,0,0
-11.54842,6.224599,5.276391|0,0,-0.1,0,0,0
-11.3348,2.223344,5.374312|0,-0.08656204,-0.1,0,0,0
-11.13012,1.517106,5.570377|0,-0.1968659,-0.2,-0.05,0,0
-11.53481,1.591884,5.668447|0,-0.2814869,-0.15,-0.15,0,0
-11.7781,1.906905,6.060594|0,-0.4915169,-0.25,-0.25,0,0
-11.78805,2.418647,6.158453|0,-0.543945,0,-0.05,0,0
-11.60084,2.925363,6.25631|0,-0.4571371,0,0,0,0
-11.24348,3.124243,6.452221|0,-0.3497912,0,0,0,0
-11.07283,2.600077,6.550271|0,-0.257187,0,0,0,0
-10.74642,1.032872,6.746539|0,-0.13629,0,0,0,0
-10.74642,0.3286494,6.746539|0,0,0,0,0,0
-10.90723,0.6829963,6.648376|0,0.06501889,0,0,0,0
-11.07283,0.4751895,6.550271|0,0.149106,-0.05,0,0,0
